Name,Birth,Death,nationality_1,nationality_2,dates_in_paris,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image,address,lon,lat
"Abela, Eduardo",1889 or 1892,1965,Cuba,,1927-1929,Académie de la Grande Chaumière,"1928 (Dec. 1-15) Galerie Zak<br /> 1928 Société des Artistes Français (Un vue de la Havane)<br /> 1929 (Jun. 5-30) Galerie du Seine (with Dufy, Gromaire, Pascin, Severini, Vlaminck…)<br /> 1929 Salon d'automne<br /> 1929 Salon des Surindépendants (5-6 paintings)<br /> 1930  (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak",Pascin,NA,NA,"Cuba, Salon d'Automne, 1930 Exposition du Groupe Latino-Americain, Académie de la Grande Chaumière, Galerie Zak",NA,"64, Avenue du Maine",2.3216734,48.8400966
"Acevedo Bernal, Ricardo",1867,1930,Colombia,,ca. 1929,NA,1928 exhibition?,NA,NA,Sent as Consul to Rome in 1929 and held exhibition in Seville (no note of exhibition in Paris),Colombia,NA,NA,NA,NA
"Acevedo Rodríguez, José",1907,1981,Colombia,,1930; 1932,Académie Julian,NA,NA,NA,mostly in Spain,"Colombia, Académie Julian",NA,NA,NA,NA
"Acuña, Luis Alberto",1904,1993,Colombia,,1924-1929,"Ecole des beaux-arts,  Académie de la Grande Chaumière","1925, 1926 Salon d'Automne<br /> 1926, 1927 (Jupiter et Antiope), 1926, 1929 Salon des Indépendants<br />  1926 Salón du France Musée Galliera organized by Paris Midi newspaper (Nessus séduisant Déjanire)<br /> 1926 Société Nationale des Beaux-Arts<br /> 1928 (Oct.) Galerie Marck, 33, Rue Bonapart","Pablo Landovsky, Jean Boucher, Emile Antoine Bourdelle",yes,sculptor and painter; French government acquired a work for the Musée de Luxembourg in1926; sells Nature Morte in 1926 for 3000f,"Colombia, Salon d'Automne, Académie de la Grande Chaumière, Société Nationale des Beaux Arts",NA,"21, rue de la Harpe Ve",2.3447034,48.8523465
"Acuña, Luis Alberto",1904,1993,Colombia,,1924-1929,"Ecole des beaux-arts,  Académie de la Grande Chaumière","1925, 1926 Salon d'Automne<br /> 1926, 1927 (Jupiter et Antiope), 1926, 1929 Salon des Indépendants<br />  1926 Salón du France Musée Galliera organized by Paris Midi newspaper (Nessus séduisant Déjanire)<br /> 1926 Société Nationale des Beaux-Arts<br /> 1928 (Oct.) Galerie Marck, 33, Rue Bonapart","Pablo Landovsky, Jean Boucher, Emile Antoine Bourdelle",yes,sculptor and painter; French government acquired a work for the Musée de Luxembourg in1926; sells Nature Morte in 1926 for 3000f,"Colombia, Salon d'Automne, Académie de la Grande Chaumière, Société Nationale des Beaux Arts",NA,"3, rue des Beaux-Arts, Vie",2.336191,48.856271
"Agostini, Angelina",1888,1973,Brazil,,ca. 1924-1926,NA,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924, 1925, 1926, 1928 Société Nationale des Beaux-Arts",NA,NA,NA,"Brazil, female, 1924 Exposition d'Art Américain-Latin, Société Nationale des Beaux Arts",NA,"5, avenue Philippe Le Boucher, Neuilly-sur-Seine",2.2767933,48.8837459
"Aguirre, Ricardo",1897,1967,Unknown,,NA,NA,1926 Salon d'Automne,NA,NA,NA,Salon d'Automne,NA,NA,NA,NA
"Ainscough, Hilda",NA,NA,Argentina,,ca. 1927,NA,"1924, 1927 (Pan, statue platre, Faunesse, bronze bust) Salon des Artistes Français<br /> 1926, 1930 Société Nationale des Beaux-Arts<br /> 1929, 1930 Salon d'Autonme<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Argentine Pavilion",NA,NA,sculptor,"Argentina, female, Salon d'Automne, Salon des Artistes Français, Société Nationale des Beaux Arts, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",NA,"9, rue Armand-Moisant",2.3183418,48.8417715
"Alcorta, Rodolfo",1876,1963,Argentina,,"1923-1937 (at least, lived in France for a long time)",NA,"1909, 1910, 1911, 1912, 1913, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930 Salon d'Automne<br /> 1923, 1924, 1925, 1927, 1928, 1931 Salon des Indépendants<br />  1923, 1924, 1926, 1927, 1928, 1929, 1930, 1931 Salon des Tuileries<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1930 (Dec.) Huit artistes du Rio de la Plata Galerie, Castelucho-Diana<br /> 1930 Société Nationale des Beaux-Arts<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Argentine Pavilion",NA,NA,Asesor cultural honorario de la la Argentina en Francia; Associated member of the Société nationale des beaux-arts,"Argentina, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Société Nationale des Beaux Arts, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",NA,"157, rue de Rome",2.3151309,48.8868275
"Alcorta, Rodolfo",1876,1963,Argentina,,"1923-1937 (at least, lived in France for a long time)",NA,"1909, 1910, 1911, 1912, 1913, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930 Salon d'Automne<br /> 1923, 1924, 1925, 1927, 1928, 1931 Salon des Indépendants<br />  1923, 1924, 1926, 1927, 1928, 1929, 1930, 1931 Salon des Tuileries<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1930 (Dec.) Huit artistes du Rio de la Plata Galerie, Castelucho-Diana<br /> 1930 Société Nationale des Beaux-Arts<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Argentine Pavilion",NA,NA,Asesor cultural honorario de la la Argentina en Francia; Associated member of the Société nationale des beaux-arts,"Argentina, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Société Nationale des Beaux Arts, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",NA,"31, avenue Pierre 1er-de-Serbie",2.2985314,48.8673362
